Date,AC.PA,ACA.PA,AI.PA,AIR.PA,ATO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,EI.PA,EN.PA,ENGI.PA,FP.PA,FR.PA,FTI.PA,GLE.PA,KER.PA,LHN.PA,LR.PA,MC.PA,ML.PA,MT.AS,OR.PA,ORA.PA,PUB.PA,RI.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,SOLB.BR,STM.PA,SU.PA,SW.PA,UG.PA,UL.AS,VIE.PA,VIV.PA
1/28/2010,25.54,11.36,56.70,13.78,33.74,40.90,51.07,35.26,31.72,15.06,37.90,41.65,35.15,27.42,41.22,7.62,,41.81,87.80,,20.49,78.11,53.64,56.65,75.71,16.43,29.22,57.83,33.94,14.06,52.68,33.38,66.86,5.92,36.88,39.45,16.82,155.35,24.06,18.25
1/29/2010,25.79,11.44,57.88,14.20,33.74,41.45,52.15,35.34,32.26,15.00,38.81,42.11,35.77,27.42,42.05,7.96,,42.21,88.45,,20.90,79.07,54.41,58.04,76.45,16.63,29.78,58.31,34.26,14.19,53.60,34.85,67.39,5.95,37.51,39.67,17.06,157.20,23.84,18.24
2/1/2010,25.85,11.65,59.02,14.28,34.18,41.65,52.90,35.70,32.74,15.18,38.71,42.06,36.06,27.71,42.20,8.29,,42.52,88.91,,20.87,79.33,56.08,59.32,76.55,16.80,29.73,58.44,35.31,14.38,53.23,34.26,67.88,6.05,37.65,39.67,17.36,159.30,24.45,17.80
2/2/2010,26.19,11.64,59.90,14.61,34.51,41.85,53.88,35.94,32.81,15.62,39.49,41.95,36.86,27.92,42.45,8.31,,43.55,90.07,,21.47,81.10,55.95,60.48,77.65,16.92,29.95,59.11,35.29,14.63,53.80,35.14,68.33,6.16,38.49,40.31,17.18,158.95,24.81,18.01
2/3/2010,25.85,11.21,59.35,14.63,34.43,42.11,52.54,35.75,33.00,15.64,40.31,41.89,37.22,27.92,42.34,8.33,,42.52,88.37,,21.60,81.45,56.30,59.63,77.13,16.72,29.65,58.80,35.32,14.64,54.06,35.26,67.92,6.20,38.53,39.22,17.27,158.00,24.45,18.04
2/4/2010,25.17,10.63,58.11,14.25,33.50,41.38,49.84,34.90,32.15,15.20,38.99,41.46,36.11,27.17,41.57,7.97,25.79,40.06,85.79,,20.86,77.96,54.12,57.24,75.43,16.53,29.29,57.35,33.72,14.20,53.42,33.78,66.52,6.01,37.50,38.42,16.50,156.90,23.74,17.88
2/5/2010,24.40,10.09,57.02,14.10,32.11,40.12,47.11,33.73,31.57,14.28,38.08,41.02,34.77,26.23,40.13,7.54,,38.38,83.29,,20.23,74.87,51.73,55.64,73.10,16.23,27.97,55.46,32.15,13.96,51.68,32.03,65.61,5.89,36.13,38.13,16.12,156.25,23.38,17.25
2/8/2010,24.37,10.30,58.79,14.01,32.24,40.88,47.46,34.33,31.22,14.30,38.05,41.28,34.92,26.49,40.89,7.37,,38.80,83.33,,20.51,76.23,51.12,57.05,74.74,16.50,28.04,56.19,32.63,13.97,52.98,32.22,65.43,5.90,36.51,38.77,15.84,154.10,23.23,17.42
2/9/2010,24.45,10.40,58.42,13.81,32.21,40.87,48.31,34.71,31.28,14.42,37.99,41.13,35.15,26.32,40.53,7.40,,39.56,84.03,,20.86,77.05,51.90,58.26,74.62,16.42,28.13,55.64,33.31,14.08,52.66,32.99,65.46,5.81,36.70,39.33,16.10,144.80,23.05,17.42
2/10/2010,24.76,10.81,58.72,13.80,31.91,40.97,49.82,34.38,30.83,14.85,38.19,41.50,35.36,26.50,40.92,7.46,,41.24,85.06,,21.08,77.82,52.19,54.21,75.66,16.55,28.74,56.22,32.78,14.13,52.20,33.19,65.22,5.95,37.10,39.70,15.31,146.10,23.45,17.62
2/11/2010,24.59,10.40,58.79,13.73,31.75,41.35,48.50,34.74,30.80,14.47,37.70,42.44,34.48,26.40,41.54,7.24,,40.26,84.59,,20.55,77.58,50.25,55.03,75.90,16.45,28.85,55.37,31.00,14.41,52.52,32.53,65.32,6.00,36.95,40.05,14.73,144.20,23.51,17.49
2/12/2010,24.42,10.11,59.29,13.75,31.30,41.74,47.60,34.64,30.52,14.44,37.29,43.20,33.37,26.62,41.63,6.84,,39.00,84.32,,20.26,76.42,48.78,54.99,76.62,16.45,29.08,55.88,29.56,14.23,53.01,31.36,66.16,5.88,36.24,40.40,14.13,145.20,23.59,17.42
2/15/2010,24.37,10.04,60.05,13.55,31.09,41.65,47.87,34.38,30.55,14.66,37.22,43.02,33.90,26.62,41.71,6.74,,39.22,83.89,,20.47,77.28,49.38,55.76,76.75,16.49,29.22,55.35,30.25,14.29,53.20,31.36,65.63,5.81,36.36,40.48,14.19,143.85,23.55,17.50
2/16/2010,24.73,10.46,61.90,13.80,32.60,42.08,49.20,34.67,31.34,14.98,37.74,43.15,34.22,26.92,42.51,6.91,,41.00,84.52,,20.90,77.50,50.00,58.01,73.18,16.70,29.20,56.64,31.08,14.43,53.56,32.38,67.41,5.92,36.97,40.69,14.29,145.05,23.71,17.59
2/17/2010,25.78,10.78,63.18,14.48,34.68,42.45,51.15,35.38,31.68,15.56,38.63,43.99,35.00,27.03,42.63,7.34,,42.00,84.72,,21.79,78.69,51.08,57.42,74.25,16.84,28.19,57.29,31.70,14.65,53.88,33.44,68.92,6.17,38.35,41.20,14.66,146.55,23.92,17.76
2/18/2010,25.84,10.54,63.44,14.66,34.44,43.00,52.25,35.63,33.65,15.64,38.76,44.08,35.19,27.20,43.00,7.20,26.27,38.97,85.55,,22.41,79.60,50.49,58.70,75.09,17.00,28.20,58.29,32.26,14.79,54.43,34.03,68.33,6.26,39.83,41.37,14.73,146.95,24.04,17.74
2/19/2010,26.33,10.75,64.24,14.87,33.51,43.74,53.08,34.92,33.83,15.41,38.90,44.11,35.44,27.56,42.99,7.17,,39.70,85.39,,22.59,79.55,50.87,58.81,76.00,17.12,28.28,57.75,32.29,14.97,54.71,33.92,67.80,6.34,40.61,42.66,14.92,146.75,24.18,18.10
2/22/2010,25.79,10.82,63.36,14.87,34.38,43.24,53.95,34.08,34.16,15.18,38.70,43.87,35.15,27.56,42.67,7.10,,40.52,84.05,,22.43,80.08,50.37,59.06,75.49,17.00,28.20,56.25,31.89,15.23,54.14,33.50,67.80,6.37,40.44,42.56,14.48,147.40,24.28,17.95
2/23/2010,25.70,10.47,63.21,15.05,34.05,43.21,52.63,33.76,33.51,14.88,38.31,43.55,34.69,27.45,41.98,6.87,26.22,39.56,82.40,,22.27,79.00,49.15,57.48,74.93,16.84,28.51,56.12,30.54,15.30,54.05,33.36,67.14,6.17,39.46,42.83,14.25,146.85,24.06,17.82
2/24/2010,26.15,10.52,63.49,14.74,34.02,43.20,52.90,33.83,34.12,14.90,38.28,44.02,34.24,27.47,41.79,6.89,,40.24,81.55,,22.61,78.70,49.47,57.84,76.02,16.84,28.48,56.66,30.90,15.05,53.92,33.11,66.34,6.33,39.64,43.06,14.07,147.30,24.26,17.95
2/25/2010,26.12,10.50,62.44,14.53,33.42,42.54,51.51,33.48,33.21,14.40,37.76,43.58,33.33,26.74,40.45,7.16,,39.79,81.55,,22.08,76.76,48.64,56.36,75.53,17.01,28.34,55.50,29.42,16.56,52.92,32.00,65.93,6.25,38.72,43.05,13.70,145.20,23.71,17.59
2/26/2010,26.18,10.92,65.94,15.16,34.22,42.95,53.13,33.88,33.83,14.79,38.45,44.29,33.80,26.97,40.98,7.47,,40.40,84.29,,23.00,79.60,49.50,56.99,76.02,17.23,28.97,55.33,30.20,17.28,53.72,34.52,66.01,6.36,39.22,43.58,13.99,145.00,23.81,17.90
3/1/2010,27.03,11.05,66.89,15.37,34.57,43.36,54.30,35.12,34.34,14.81,39.62,45.21,35.20,27.17,41.36,7.52,26.54,41.28,86.04,,23.91,81.74,50.38,57.48,77.58,17.36,29.81,56.98,30.26,17.32,54.82,35.08,66.87,6.53,40.12,45.00,14.10,148.50,24.20,18.20
3/2/2010,27.75,11.28,66.92,15.45,35.28,43.69,54.70,35.78,35.21,15.16,39.93,44.96,35.81,27.38,41.61,7.82,,42.02,87.35,,23.81,83.12,51.45,59.25,79.67,17.34,29.86,57.30,31.05,17.18,54.99,35.51,66.92,6.63,40.37,44.60,14.58,151.85,24.66,18.35
3/3/2010,27.96,11.38,66.86,15.49,34.97,43.58,54.85,35.92,35.38,15.20,40.17,44.54,37.53,27.42,41.76,7.78,,42.86,88.40,,23.78,84.43,52.06,61.03,78.67,17.44,30.00,58.33,31.65,17.29,55.14,36.15,67.95,6.64,40.79,44.34,14.94,152.30,25.22,18.54
3/4/2010,27.56,11.30,66.49,15.65,34.80,43.29,54.77,35.63,35.24,15.14,41.22,44.83,37.19,26.68,41.55,7.79,,42.88,88.20,,23.66,84.01,52.12,60.65,77.97,17.45,29.88,58.14,31.64,17.85,54.81,35.96,67.99,6.59,40.65,44.49,15.35,153.45,25.00,18.57
3/5/2010,27.83,11.66,67.66,15.96,35.06,44.19,56.78,36.00,35.85,15.62,41.90,45.72,37.62,27.33,42.41,7.88,,44.95,89.60,,23.49,86.97,53.47,62.98,79.21,17.72,30.40,58.57,32.89,17.88,55.76,36.47,69.35,6.81,41.24,44.56,15.78,155.70,23.94,18.73
3/8/2010,27.78,11.74,66.73,15.88,35.37,44.13,57.21,36.07,35.85,15.58,41.58,45.90,37.06,27.47,42.26,7.77,,44.31,89.92,,23.25,85.90,53.09,63.29,79.03,17.77,30.20,58.61,32.99,17.70,55.75,36.30,68.82,6.76,41.15,44.58,15.63,155.50,23.80,18.64
3/9/2010,27.70,11.57,66.89,15.44,35.29,44.31,56.92,36.21,35.73,15.72,41.51,46.15,37.08,27.89,42.53,7.62,27.66,43.65,89.64,,23.75,85.69,52.84,63.63,79.24,17.74,30.19,59.52,32.69,17.42,56.17,36.19,68.80,6.74,41.33,44.29,15.55,154.45,23.51,18.80
3/10/2010,27.43,12.02,67.15,15.28,36.89,44.26,57.47,36.44,36.42,16.13,42.00,46.44,37.80,28.09,42.93,8.25,,44.80,90.00,,24.17,86.42,54.63,63.63,79.27,17.81,30.29,59.95,33.12,17.76,56.13,36.08,69.87,6.82,42.54,44.34,15.50,153.75,23.72,18.87
3/11/2010,27.76,12.06,66.83,14.85,37.06,44.17,56.90,36.97,35.95,16.06,42.24,46.35,37.60,28.32,42.92,8.32,,44.00,93.14,,23.83,85.76,55.01,62.58,79.13,17.75,30.14,60.24,33.27,18.18,55.65,35.96,69.09,6.76,42.42,44.51,15.58,151.60,23.91,18.88
3/12/2010,27.75,12.15,66.56,14.68,36.92,43.97,57.00,35.86,35.76,16.17,42.55,46.32,37.61,28.19,42.70,8.29,28.67,44.28,94.78,,23.85,86.41,54.88,63.49,78.47,17.75,30.29,59.90,33.90,18.32,55.40,35.99,69.19,6.65,42.72,44.27,15.78,150.60,24.30,18.82
