Date,AC.PA,ACA.PA,AI.PA,AIR.PA,ATO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,EI.PA,EN.PA,ENGI.PA,FP.PA,FR.PA,FTI.PA,GLE.PA,KER.PA,LHN.PA,LR.PA,MC.PA,ML.PA,MT.AS,OR.PA,ORA.PA,PUB.PA,RI.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,SOLB.BR,STM.PA,SU.PA,SW.PA,UG.PA,UL.AS,VIE.PA,VIV.PA
1/28/2010,-0.17,-0.20,-1.41,-0.02,-0.79,-1.06,-0.68,-0.72,-1.03,-0.23,-0.83,-0.22,-1.18,-0.53,-1.10,-0.22,,-1.04,-0.25,,-0.46,-0.95,-0.26,-2.15,-1.40,-0.27,0.31,-0.37,0.08,0.07,-1.12,-0.65,0.00,0.09,-1.40,-0.06,-0.41,1.95,-0.49,-0.42
1/29/2010,0.25,0.08,1.18,0.42,0.01,0.54,1.08,0.08,0.55,-0.05,0.91,0.45,0.62,0.00,0.83,0.34,,0.40,0.65,,0.41,0.96,0.77,1.40,0.74,0.20,0.56,0.48,0.32,0.13,0.92,1.47,0.53,0.03,0.64,0.22,0.24,1.85,-0.22,-0.01
2/1/2010,0.06,0.21,1.14,0.08,0.44,0.21,0.75,0.35,0.47,0.18,-0.10,-0.05,0.29,0.29,0.15,0.33,,0.31,0.46,,-0.03,0.26,1.67,1.28,0.10,0.17,-0.04,0.13,1.06,0.19,-0.37,-0.58,0.49,0.10,0.14,0.01,0.30,2.10,0.61,-0.44
2/2/2010,0.34,-0.02,0.89,0.33,0.33,0.20,0.98,0.24,0.07,0.44,0.78,-0.10,0.79,0.21,0.26,0.02,,1.03,1.16,,0.60,1.77,-0.13,1.15,1.10,0.12,0.22,0.67,-0.02,0.25,0.57,0.88,0.45,0.11,0.84,0.64,-0.18,-0.35,0.35,0.21
2/3/2010,-0.35,-0.42,-0.55,0.02,-0.08,0.26,-1.34,-0.19,0.20,0.02,0.82,-0.06,0.36,0.00,-0.11,0.02,,-1.03,-1.70,,0.13,0.35,0.35,-0.85,-0.52,-0.20,-0.30,-0.31,0.03,0.02,0.26,0.13,-0.40,0.04,0.03,-1.09,0.10,-0.95,-0.35,0.03
2/4/2010,-0.68,-0.58,-1.24,-0.38,-0.93,-0.74,-2.70,-0.85,-0.85,-0.44,-1.32,-0.43,-1.10,-0.75,-0.77,-0.36,,-2.46,-2.58,,-0.74,-3.49,-2.18,-2.39,-1.70,-0.19,-0.36,-1.45,-1.60,-0.44,-0.64,-1.49,-1.40,-0.19,-1.03,-0.81,-0.77,-1.10,-0.71,-0.16
2/5/2010,-0.77,-0.54,-1.10,-0.15,-1.39,-1.26,-2.74,-1.17,-0.58,-0.92,-0.91,-0.44,-1.34,-0.95,-1.44,-0.42,,-1.68,-2.50,,-0.64,-3.09,-2.39,-1.60,-2.33,-0.30,-1.32,-1.89,-1.58,-0.24,-1.74,-1.75,-0.91,-0.12,-1.38,-0.28,-0.38,-0.65,-0.36,-0.63
2/8/2010,-0.04,0.21,1.77,-0.09,0.13,0.76,0.35,0.60,-0.35,0.02,-0.03,0.26,0.15,0.26,0.76,-0.17,,0.42,0.04,,0.29,1.36,-0.61,1.42,1.64,0.27,0.07,0.73,0.49,0.01,1.30,0.19,-0.18,0.01,0.38,0.64,-0.28,-2.15,-0.15,0.17
2/9/2010,0.09,0.10,-0.37,-0.21,-0.03,-0.01,0.86,0.38,0.06,0.11,-0.06,-0.15,0.23,-0.17,-0.36,0.03,,0.76,0.70,,0.35,0.82,0.77,1.20,-0.12,-0.08,0.09,-0.55,0.67,0.11,-0.32,0.77,0.03,-0.09,0.19,0.56,0.26,-9.30,-0.18,0.00
2/10/2010,0.30,0.40,0.30,-0.01,-0.30,0.10,1.51,-0.33,-0.45,0.43,0.20,0.37,0.21,0.18,0.39,0.06,,1.68,1.03,,0.22,0.77,0.29,-4.04,1.04,0.13,0.61,0.58,-0.53,0.06,-0.46,0.20,-0.24,0.14,0.40,0.38,-0.79,1.30,0.40,0.20
