Date,AC.PA,ACA.PA,AI.PA,AIR.PA,ATO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,EI.PA,EN.PA,ENGI.PA,FP.PA,FR.PA,FTI.PA,GLE.PA,KER.PA,LHN.PA,LR.PA,MC.PA,ML.PA,MT.AS,OR.PA,ORA.PA,PUB.PA,RI.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,SOLB.BR,STM.PA,SU.PA,SW.PA,UG.PA,UL.AS,VIE.PA,VIV.PA
1/28/2010,-0.6445300193,-1.730852445,-2.431990143,-0.1449800652,-2.302340061,-2.514299393,-1.314009662,-2.001117287,-3.145515442,-1.536952256,-2.130134263,-0.5254287205,-3.248004225,-1.896246802,-2.588042955,-2.744097001,,-2.415684388,-0.2839295758,,-2.172356171,-1.201615259,-0.4838858618,-3.656094383,-1.815590691,-1.616772358,1.072475313,-0.6357371025,0.2510677891,0.5364806867,-2.081782567,-1.910365795,0,1.526586621,-3.645152861,-0.1645102589,-2.387196965,1.271194313,-2.016289288,-2.228983753
1/29/2010,0.9795245243,0.7485689124,2.081676061,3.085299456,0.02963687477,1.32013449,2.114748385,0.2268916748,1.734192023,-0.3653271338,2.387553156,1.09243212,1.763863342,0,2.025958996,4.483858268,,0.944752429,0.7403120476,,1.976573939,1.229034679,1.441192429,2.463925428,0.9774111871,1.186853317,1.91682355,0.8300172634,0.9428373878,0.9249377446,1.746389522,4.419469663,0.7873207505,0.5406318635,1.735590508,0.5704094309,1.41597999,1.19085351,-0.8937850759,-0.05315150453
2/1/2010,0.2322374378,1.835664336,1.961297377,0.5281690141,1.289082865,0.4946362649,1.438159101,1.004527448,1.456693056,1.166666667,-0.2576706968,-0.1187507422,0.8107380486,1.057618527,0.3448299725,4.123883557,,0.7463522926,0.5200757667,,-0.1435750179,0.3288250917,3.072287673,2.211710687,0.1308123008,1.022556391,-0.1511335013,0.2229428876,3.079395977,1.339443074,-0.6902948019,-1.678619895,0.7252083545,1.697193749,0.3731840697,0.01260650429,1.75552742,1.335881705,2.558729027,-2.413668665
2/2/2010,1.322095394,-0.1287553648,1.503174637,2.34676007,0.9801023991,0.4801824499,1.852550024,0.6723658776,0.2138353379,2.932454695,2.01499101,-0.2496706694,2.204656068,0.7578527881,0.6043393767,0.2211097708,,2.422387112,1.304685578,,2.899587827,2.231181086,-0.2241452441,1.940507106,1.436967938,0.7145043168,0.7399966364,1.146478459,-0.05663599198,1.739130435,1.070822844,2.553626224,0.6646045842,1.834104428,2.230779504,1.613106531,-1.05991394,-0.219714999,1.451938591,1.195959914
2/3/2010,-1.318205591,-3.652771809,-0.916156684,0.1026694045,-0.2462668476,0.6212736259,-2.48700812,-0.5148211906,0.5944215821,0.1280409731,2.07647242,-0.1430321778,0.9768009768,0,-0.2591307359,0.2407222631,,-2.365095347,-1.887417564,,0.6055007269,0.4315647455,0.6217507425,-1.39824296,-0.6696780252,-1.152834694,-1.001672755,-0.5244493229,0.07083723308,0.1025641026,0.4832751019,0.3557199874,-0.5914235326,0.600356969,0.09092090118,-2.703710845,0.5670736322,-0.5976703479,-1.431159041,0.16153654
2/4/2010,-2.61708589,-5.173951829,-2.090025136,-2.564102564,-2.701132733,-1.745430973,-5.138943564,-2.377616783,-2.590909091,-2.813299233,-3.262222693,-1.038426857,-2.969230149,-2.686246418,-1.818611242,-4.362579293,,-5.785510348,-2.919544995,,-3.425921296,-4.284835026,-3.87849279,-4.014906918,-2.204067245,-1.136351743,-1.214161889,-2.465988137,-4.515860702,-3.005464481,-1.183875302,-4.22514403,-2.061761627,-3.032258065,-2.673239104,-2.052262692,-4.450215072,-0.6962063291,-2.903889452,-0.8850783657
2/5/2010,-3.051694602,-5.079962371,-1.888735548,-1.052631579,-4.149250746,-3.033235045,-5.487560193,-3.352441069,-1.788769638,-6.052631579,-2.346447041,-1.049335373,-3.710886078,-3.478100847,-3.464034159,-5.314877589,,-4.193709331,-2.914092518,,-3.044108195,-3.963565982,-4.409905272,-2.794731404,-3.0889593,-1.814887972,-4.506664237,-3.295551989,-4.684946164,-1.725352113,-3.257203417,-5.181346843,-1.370382669,-2.029274784,-3.666666667,-0.7418011839,-2.318147527,-0.4142728011,-1.516432182,-3.517683503
2/8/2010,-0.1589816781,2.081268583,3.111796253,-0.6382978723,0.3892868144,1.894322081,0.7430251566,1.77883783,-1.108650618,0.1400560224,-0.07878938662,0.6216528523,0.4457837216,0.9914242135,1.893839973,-2.298429923,,1.094314719,0.04802617303,,1.43386403,1.816481829,-1.176821193,2.545444905,2.243502113,1.632784966,0.2502753039,1.316263998,1.5243366,0.07165890362,2.515479876,0.5932802128,-0.2722068577,0.1697792869,1.065738408,1.665142345,-1.723731547,-1.37599616,-0.6415697451,0.9817499489
2/9/2010,0.3615708839,0.9708737864,-0.6264741046,-1.463240542,-0.09306343747,-0.03669031221,1.81223678,1.10689478,0.1921909094,0.8041958042,-0.1576793734,-0.3513046468,0.6442462604,-0.6229978998,-0.8804108799,0.4298124541,,1.958768092,0.840029981,,1.681706151,1.075691942,1.512024785,2.107174444,-0.1605499106,-0.4546892722,0.3209628987,-0.9788218718,2.053016826,0.7876834945,-0.60400151,2.390194009,0.04309525272,-1.542372881,0.506715996,1.431521795,1.640358241,-6.035043892,-0.7748643995,-0.0281218076
2/10/2010,1.239465936,3.894230769,0.5147121251,-0.07243752264,-0.9160129846,0.2447032793,3.11497678,-0.936332496,-1.454603534,2.983003815,0.5264464056,0.8995842232,0.5974366659,0.6838905775,0.9622477415,0.8558108108,,4.259347718,1.225751532,,1.030680679,0.9993471382,0.5586058243,-6.943096611,1.393729507,0.7612667479,2.168507009,1.042419142,-1.591346645,0.3907637655,-0.8735263957,0.606336195,-0.3589993944,2.358409365,1.090069492,0.9535918384,-4.931073025,0.8977921085,1.713670356,1.167102008
2/11/2010,-0.6547616908,-3.794539565,0.1151188889,-0.471185212,-0.5014102162,0.9398217991,-2.649538338,1.032438623,-0.08110948642,-2.526103065,-1.283053189,2.265057831,-2.48869054,-0.3962264151,1.527370554,-3.059358222,,-2.388170745,-0.5525535046,,-2.514832621,-0.3084014392,-3.703055957,1.503585112,0.3172059045,-0.6044122091,0.3827418232,-1.511920998,-5.415718968,1.94621373,0.6130248925,-1.973789303,0.1441195905,0.9754456778,-0.3908882493,0.8816070307,-3.818444275,-1.300485231,0.2985668586,-0.7688989838
2/12/2010,-0.7021712016,-2.741702742,0.844029957,0.1456664239,-1.417325984,0.9310834791,-1.855674227,-0.2878612385,-0.9090876919,-0.207325501,-1.074278486,1.778984491,-3.219260441,0.8334911915,0.1925671052,-5.482653766,,-3.129652416,-0.3191819515,,-1.387198832,-1.495235847,-2.941654453,-0.05560523161,0.9486178933,0,0.7972270364,0.9210800239,-4.661290323,-1.214855953,0.9329741051,-3.59667395,1.280641161,-1.998667555,-1.907989123,0.8863920321,-4.069187045,0.6934812904,0.3402083921,-0.3877200686
2/15/2010,-0.2018687839,-0.6923837784,1.293397858,-1.454545455,-0.6549520976,-0.2156487309,0.5567311158,-0.7361460952,0.09829292267,1.523545706,-0.2145006148,-0.4051394837,1.573272448,0,0.192196997,-1.389228072,,0.5641051282,-0.5099632353,,1.036520237,1.125361191,1.247954954,1.389402245,0.1696645718,0.2432411067,0.4814270977,-0.9484663395,2.351547961,0.4216444132,0.3584286119,0,-0.7957085716,-1.291638341,0.3172906695,0.185623071,0.4346564161,-0.929745887,-0.2119050736,0.4449030673
2/16/2010,1.460230643,4.133466135,3.079636882,1.808118081,4.823933263,1.03253932,2.789092122,0.8288498374,2.585928072,2.148703956,1.410726857,0.2905625291,0.9735890249,1.164752959,1.93021451,2.422245389,,4.538498099,0.7509810556,,2.100640064,0.2846803867,1.252214789,4.03791861,-4.651465798,1.273879207,-0.06843942739,2.330625197,2.743801653,0.944716585,0.6766917166,3.268485227,2.720905942,1.928374656,1.691410845,0.5064253953,0.7379735683,0.8342001738,0.6795497983,0.5526782356
2/17/2010,4.246039887,3.108560497,2.064556951,4.965567235,6.396683344,0.891265576,3.963416586,2.033464207,1.10082642,3.87312187,2.358237819,1.946925484,2.264432565,0.3899795874,0.2822935913,6.274079984,,2.43902439,0.2366351243,,4.234449761,1.535486452,2.14487964,-1.018612197,1.462148128,0.8984666068,-3.458903991,1.147602421,1.978764479,1.525129983,0.5974607805,3.257684314,2.230665867,4.222972973,3.718729072,1.265822754,2.550342145,1.034126142,0.9280700274,0.9628499162
2/18/2010,0.232360574,-2.272727273,0.4047157339,1.243093923,-0.692044406,1.295639545,2.15053364,0.7349766784,6.185895729,0.5464480874,0.349464138,0.21598499,0.5285742857,0.6104291302,0.8679310141,-1.930108992,,-7.202385714,0.9797001773,,2.845999541,1.156431538,-1.153982129,2.235656954,1.131307744,0.9201603396,0.03547357093,1.745505293,1.798387758,0.9559576647,1.020785059,1.76435412,-0.8591323428,1.458670989,3.846161869,0.4126164948,0.5171696221,0.2729402878,0.4806771361,-0.1362277633
2/19/2010,1.895598867,2.040816327,1.268054531,1.398362892,-2.685830508,1.720934884,1.588520574,-2.006454441,0.564716897,-1.502557545,0.3611505317,0.06805580453,0.7105300352,1.342154808,-0.02325116279,-0.3935635071,,1.860174566,-0.1870298006,,0.8257040471,-0.06280779052,0.7655607495,0.1735816757,1.21188447,0.7058882353,0.2659538913,-0.9264041701,0.07748954215,1.217450118,0.5144203564,-0.3232471444,-0.7702706856,1.277955272,1.958566178,3.118204088,1.24893942,-0.1360986758,0.6031530531,2.018744214
2/22/2010,-2.034293506,0.6511627907,-1.369235721,0.03363605785,2.566018277,-1.13169405,1.639033473,-2.391177113,0.9605467995,-1.493021746,-0.5269194326,-0.5440988315,-0.8042866995,-0.01813860733,-0.7327354858,-1.022733612,,2.065488613,-1.56926574,,-0.7082779991,0.6662463608,-0.9875728343,0.4331257056,-0.6710552632,-0.7009403796,-0.2652484527,-2.597402597,-1.23877977,1.77079853,-1.041857084,-1.238201724,0,0.4731861199,-0.418665189,-0.2226933896,-2.951764824,0.4429260647,0.3928137438,-0.8023573228
2/23/2010,-0.3686969476,-3.234750462,-0.2373753916,1.176866174,-0.9454574545,-0.09248930726,-2.446709871,-0.9388294246,-1.902816159,-1.94398682,-1.007751912,-0.7294278717,-1.322904619,-0.3810524406,-1.628585861,-3.147109842,,-2.38153998,-1.963118312,,-0.7133303611,-1.348653812,-2.417106673,-2.673727352,-0.7418174789,-0.9117705882,1.117014145,-0.2311128889,-4.233295837,0.4596191727,-0.1662356883,-0.4328358209,-0.9703481558,-3.1711146,-2.423640351,0.6225842975,-1.57085423,-0.3731262024,-0.9266927131,-0.754807413
2/24/2010,1.741379578,0.4775549188,0.4401234052,-2.060485211,-0.0881027926,-0.01157504865,0.5130172808,0.1777047291,1.805443259,0.1344086022,-0.07831375416,1.079221609,-1.297390766,0.07285245636,-0.4406908051,0.1697866973,,1.731770952,-1.031552159,,1.504265828,-0.3797506329,0.6487978387,0.6202064237,1.454687041,0,-0.1402735452,0.9622256052,1.178778612,-1.633986928,-0.2405198934,-0.7495128167,-1.189866841,2.691309987,0.4688809799,0.5370044111,-1.266071529,0.3064330825,0.8729952193,0.7605480863
2/25/2010,-0.08107736279,-0.1901140684,-1.657791501,-1.391245334,-1.763674309,-1.516210613,-2.627606706,-1.01995858,-2.66744818,-3.355704698,-1.358414351,-0.9995411177,-2.65809836,-2.675638976,-3.230046811,3.994190269,,-1.118292688,0,,-2.300380447,-2.46505092,-1.679757032,-2.554063821,-0.6445646137,0.9795251398,-0.4741000878,-2.047299682,-4.789644013,10.03321595,-1.854599475,-3.337864371,-0.6232692419,-1.341964004,-2.320883005,-0.02322805334,-2.642091496,-1.425665959,-2.307846788,-2.021546939
2/26/2010,0.2024865756,4,5.611059147,4.301445286,2.408737427,0.9519403433,3.145026331,1.209671446,1.897295474,2.673611111,1.82733855,1.6406516,1.425350295,0.878990055,1.322784028,4.352932961,,1.533050979,3.359899325,,4.120452983,3.699838361,1.768076022,1.120651151,0.6487462022,1.263962375,2.223002823,-0.3063027027,2.651261047,4.347838427,1.511721523,7.875,0.1140529545,1.776284205,1.278406475,1.231133594,2.160374397,-0.1377389836,0.442940308,1.788085634
3/1/2010,3.244060772,1.19047619,1.436474555,1.385681293,1.008040965,0.9429545764,2.202141875,3.644683703,1.492540313,0.1690902942,3.042907593,2.065698253,4.142017874,0.7415684368,0.927284041,0.6691944371,,2.165841477,2.076165594,,3.979121375,2.688442279,1.776143675,0.8581984012,2.052098213,0.7837503628,2.89955136,2.982103633,0.2152251584,0.2025462846,2.047652605,1.607766512,1.30990189,2.641509434,2.295045263,3.258370663,0.7997084173,2.413793103,1.616971928,1.675672505
3/2/2010,2.672581892,2.081447964,0.04499881889,0.5206638464,2.053800984,0.7726882712,0.7366519473,1.879271124,2.518934188,2.363268062,0.7824356583,-0.5529750178,1.747153359,0.7545086492,0.6044487281,3.944070931,,1.804961754,1.522544148,,-0.4391468005,1.68828607,2.129034115,3.083988137,2.693988072,-0.08641704571,0.1509594147,0.5615988066,2.593755248,-0.779676536,0.3101094491,1.240190984,0.07029192804,1.62377451,0.6356649315,-0.8999977778,3.377645432,2.255896296,1.901223393,0.7976674869
3/3/2010,0.7622006155,0.8865248227,-0.07860118024,0.2589834898,-0.8645153306,-0.2403296004,0.2742175453,0.4052543434,0.5112796187,0.2308707124,0.5885324318,-0.9452824943,4.788496574,0.1643835616,0.3604830483,-0.51161821,,1.999050452,1.202065282,,-0.1260239445,1.576030983,1.18303747,2.991728795,-1.255177639,0.5477198356,0.4689365265,1.797561986,1.916267373,0.6402852154,0.2727714031,1.802320575,1.544902796,0.01507386192,1.040381497,-0.5718152131,2.475155855,0.29634309,2.271340407,1.028427547
3/4/2010,-1.436693717,-0.7029876977,-0.5621884436,1.033257992,-0.5003545676,-0.6883079199,-0.1458486835,-0.807240106,-0.4238999816,-0.3948667325,2.626664941,0.6736252386,-0.9192592838,-2.680528811,-0.5028711927,0.1715021091,,0.04666355467,-0.2262499949,,-0.483701367,-0.497451143,0.1114039279,-0.6177668244,-0.8897890146,0.05733944625,-0.3834038879,-0.325738031,-0.03160056881,3.238860426,-0.5984729887,-0.5394190573,0.05547714881,-0.6782215524,-0.355481727,0.3270207488,2.705162698,0.7550846864,-0.8328415626,0.1564376305
3/5/2010,0.9971587972,3.185840708,1.763929597,1.981463726,0.7614942748,2.079244542,3.669890451,1.024279558,1.745415021,3.171456888,1.649687005,1.962754588,1.156382919,2.435825461,2.069797884,1.15507972,,4.827425261,1.587302775,,-0.718512257,3.523388798,2.595406715,3.846883073,1.590352679,1.547266387,1.740297916,0.739595816,3.967121859,0.1400560224,1.733254849,1.446241054,2.004321427,3.277693475,1.451595522,0.1685961522,2.798774925,1.466275688,-4.259140342,0.860175312
3/8/2010,-0.1771301898,0.6432246998,-1.377756056,-0.4700720777,0.8555625511,-0.13579495,0.7573089249,0.1944444444,0,-0.2241434518,-0.7517971002,0.4046855518,-1.475477789,0.4938723429,-0.3536948833,-1.459081641,,-1.43492989,0.3571428651,,-1.021711367,-1.230308138,-0.7046737004,0.4852148625,-0.2272440377,0.2821727022,-0.6578914474,0.068296056,0.2888476828,-0.9790153846,-0.01793041671,-0.4797779564,-0.7588928299,-0.7346459007,-0.2061331343,0.05609963967,-0.9147095179,-0.1284502273,-0.6056850206,-0.4651336659
3/9/2010,-0.3170829263,-1.406050277,0.2364795164,-2.802267003,-0.2262179994,0.4079320113,-0.5069061442,0.3881314111,-0.3347224733,0.8664955071,-0.1683299307,0.5555489954,0.05396923762,1.528940718,0.6270800107,-1.845578607,,-1.489673852,-0.3113867952,,2.150537634,-0.2444703086,-0.4732978299,0.5473424578,0.2657206158,-0.1688238604,-0.03311258169,1.552634336,-0.9095042926,-1.553683528,0.7533596413,-0.3167989068,-0.04097081567,-0.3108348135,0.4495674144,-0.6616530372,-0.5316290496,-0.6752430868,-1.197730616,0.8568247786
3/10/2010,-0.9669408009,3.889369058,0.3935026956,-1.036605118,4.54867224,-0.1128518226,0.9662737515,0.6351836685,1.91715925,2.608972319,1.168254876,0.6066558467,1.941739377,0.7171065155,0.9523762045,8.220423358,,2.646348952,0.4016075458,,1.768421053,0.8519033527,3.382808829,0,0.0378584058,0.3664036077,0.3146704102,0.7224479167,1.330879568,1.922530957,-0.07120705256,-0.2901727155,1.557343072,1.187824796,2.903111235,0.1128900404,-0.3247985284,-0.4532191736,0.893232667,0.386197741
3/11/2010,1.194764518,0.2911813644,-0.4814577715,-2.782324059,0.4743833146,-0.1920754674,-0.9918200628,1.468164146,-1.276946278,-0.4341085271,0.5595261905,-0.1938193132,-0.5291031886,0.8187967248,-0.01164919637,0.8888484848,,-1.785712093,3.488887778,,-1.406702524,-0.7637074928,0.6897157794,-1.64895761,-0.1766115874,-0.3369783769,-0.478788179,0.483738107,0.4529015837,2.393012387,-0.8551558729,-0.346452309,-1.116392705,-0.8363903155,-0.258612907,0.3721267479,0.5123373942,-1.398370081,0.779941011,0.05087170791
3/12/2010,-0.02557672931,0.7880547491,-0.4049420628,-1.178451178,-0.391207349,-0.4641114088,0.1757434033,-3.029068453,-0.5285201522,0.7162877608,0.7458221677,-0.05394540827,0.0133031922,-0.4590360169,-0.524165417,-0.4404487146,,0.6363613636,1.760790227,,0.08392782207,0.7579314189,-0.228326793,1.448752015,-0.8340654935,0.02817131428,0.4976841572,-0.5644090118,1.893603847,0.7148859343,-0.4492362821,0.09734389669,0.1495227833,-1.612903226,0.7071278894,-0.5280327934,1.297425692,-0.6596305808,1.652365545,-0.3071989238
3/15/2010,-0.1268532467,-1.975308642,-0.598745444,-0.136286201,-0.9886186884,-0.6254998294,-1.438596491,-1.101662251,-0.321582792,-3.03030303,-0.2350129315,0.2050971503,-0.7312804148,-0.3192656857,-0.8196791377,-0.1609814316,,-2.540650464,0.02110571873,,-1.027253669,-0.8448142185,-1.654998658,-2.246438899,-0.6117025537,-0.9014084507,-0.1485638776,0.1669415637,-0.9734571697,1.064695547,0.9927779425,-1.708813464,-0.3394959707,-1.09790946,-1.650083167,0.7454212785,-1.486776812,-0.7304156416,0.2469218209,-1.105580584
