Date,AC.PA,ACA.PA,AI.PA,AIR.PA,ATO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,EI.PA,EN.PA,ENGI.PA,FP.PA,FR.PA,FTI.PA,GLE.PA,KER.PA,LHN.PA,LR.PA,MC.PA,ML.PA,MT.AS,OR.PA,ORA.PA,PUB.PA,RI.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,SOLB.BR,STM.PA,SU.PA,SW.PA,UG.PA,UL.AS,VIE.PA,VIV.PA
1/28/2010,1059393,7508001,1465314,3249197,298603,3394280,5374672,2702977,1639696,9182780,1767936,511994,2381632,4922747,8276835,2536281,,5290498,577584,110861,687727,1318923,1121582,6909555,966634,9887412,933612,562090,4270262,689107,3581821,2511274,294033,10007824,2793636,379384,3746010,653640,1594554,6249187
1/29/2010,807009,7795894,1219611,2306668,352173,2661001,4555529,2229207,1435238,12456250,2051535,441212,1807065,5163135,7733803,3656322,,5202764,382355,438487,452116,1027263,955137,5993599,669432,10147044,735924,646227,2400035,468746,4701275,3865043,240069,7207547,2361186,342868,3721127,740260,2632887,7436637
2/1/2010,691301,5623963,1170143,2068752,185301,2428555,4175585,1762410,923822,5451161,1667843,311847,843608,3393538,5717503,1848531,,4145487,240768,811488,337139,803999,1008042,4447384,589994,9052016,652346,840883,2203756,536803,3345168,2413581,204891,5631717,1635644,244441,3173763,531057,1839798,12714859
2/2/2010,901877,6427682,1267313,1948105,350244,1723231,3858803,1463006,1039498,8336692,1590231,339528,1569238,3343103,8531488,2134068,,4807921,383267,671051,544927,1081405,840314,5276704,694324,9262367,704229,778258,2145952,582061,2476272,2858216,245837,7192308,1662124,520076,2958620,835915,2090520,6887778
2/3/2010,1036187,10186714,1130016,2468129,161319,2543780,3039752,1276168,871520,8219712,3156243,451919,1644238,3262917,5711112,2017974,,4144160,448248,407410,543473,1148420,970121,4473965,693754,7302453,553693,889330,2433339,476686,3169675,2128484,173593,3680624,1950670,508877,2673346,680708,1536648,6598735
2/4/2010,1609776,15836549,1194558,2732458,219119,2738839,6187118,2743968,1050168,9094232,2523305,377467,2305870,5016227,7310050,2029359,1595950,8297879,624359,373473,535900,1636761,1122171,5556676,897069,12627257,1086768,756696,2579302,869582,3480419,3105451,239782,4619360,3362292,505652,3324500,666381,2042128,6896513
2/5/2010,2291295,15687190,2224779,4673569,331787,4298280,10493710,4735893,1503732,18884326,4642031,717513,2568369,9433883,13653747,3402858,,8179808,780967,354392,719986,2625236,2099629,9150731,1497231,16239543,1489142,1166985,4696419,909070,7230154,7191651,280685,6275818,4068994,1014143,5184846,4747217,2879114,10370125
2/8/2010,1311946,13199603,1857513,3001302,235780,2202838,6020771,2623342,1108452,9960070,2197673,565335,1152376,4398127,7206580,2018187,,5676320,437164,555782,471568,1355098,1266093,5005824,796587,10522694,656581,651368,4100843,541231,3834453,4561422,192959,5612174,2214358,750182,4704296,911304,2003977,5333149
2/9/2010,1299068,10608945,1432122,3168176,224527,3363524,5602149,2579358,1031417,9429574,2270064,579901,1058797,5643081,7817618,1752249,,5254517,389886,454904,740841,1392001,1070113,5137236,861194,8698468,691388,705165,3655739,579562,4164248,3417072,226747,6246431,2347192,514188,3824451,1494860,2168618,4929936
2/10/2010,913959,12608213,1030816,2177198,276218,2577257,5726461,2472218,1941681,10922247,2047413,662016,1470267,4522956,8745859,1629336,,6534250,407680,445170,554628,1098841,933546,15554370,1045461,9108971,786583,718105,3729144,639675,5720391,4028199,241566,6100978,2534286,318883,7620299,884219,2298285,5479369
2/11/2010,1189830,9378870,1218793,2007180,159223,5576519,5171927,2398766,1359542,8905276,2008680,804970,2058846,5166892,10466203,2746158,,5222254,531517,628892,1167059,1229958,1817731,7616395,863810,8537286,726062,1421056,8262910,733106,5902227,3225824,198474,4359481,2152736,497186,5815893,526117,1960682,6201415
2/12/2010,1419204,9160471,1494179,2290937,206468,3524191,4530565,1603477,1041336,6570419,2295490,1062509,2867574,4066744,7125154,4477608,,4433765,423722,577490,662400,1367327,3373338,6261790,884226,5709139,716161,801348,6845505,671907,3205524,3856941,303151,3937287,2223244,659884,7280224,432891,1389252,4985626
2/15/2010,701067,4549023,1395800,1692329,122532,2031646,2145850,1258611,442720,3782191,1062879,472100,964077,2142413,3297264,1237206,,1809798,134603,801283,531419,744264,811608,2866721,703646,3917918,509408,394695,3779022,339297,1827435,1494368,149468,2976096,974232,219945,3125932,270896,653655,2375356
