Date,"ABI,BR","AI,PA","AIR,PA","ALV,DE","ASML,AS","BAS,DE","BAYN,DE","BBVA,MC","BMW,DE","BN,PA","BNP,PA","CA,PA","CS,PA","DAI,DE","DBK,DE","DG,PA","DPW,DE","DTE,DE","EI,PA","ENEL,MI","ENGI,PA","ENI,MI","EOAN,DE","FP,PA","G,MI","GLE,PA","IBE,MC","INGA,AS","ISP,MI","ITX,MC","MC,PA","MUV2,DE","NOKIA,PA","OR,PA","ORA,PA","PHIA,AS","REP,MC","RWE,DE","SAN,MC","SAN,PA","SAP,DE","SGO,PA","SIE,DE","SU,PA","TEF,MC","UCG,MI","UL,AS",UN,"VIV,PA","VOW3,DE"
1/28/2010,35.16,56.6996,13.775,79.57,29.6558,40.025002,49.279999,10.5442,29.549999,40.904999,51.07,35.259998,15.055,32.32,33.982899,37.904999,12.495,9.407,41.650002,3.88,27.42,16.709999,14.985392,41.215,17.09,41.810001,6.146,6.641,2.55889,9.056,78.110001,109.099998,6.93,75.709999,16.43,21.805,16.870001,63.658001,9.7156,52.68,32.18,33.375,62.889999,36.875,17.0793,64.118202,155.350006,31,18.2516,56.162201
1/29/2010,36.150002,57.879902,14.2,80.419998,29.8312,41.224998,49.474998,10.6643,30.959999,41.445,52.150002,35.34,15,33.424999,34.468399,38.810001,12.64,9.357,42.105,3.9025,27.42,16.93,15.06451,42.049999,17.27,42.205002,6.18,6.864,2.59628,45.634998,79.07,108.5,6.93,76.449997,16.625,21.9,17.145,64.026802,9.97713,53.599998,33.080002,34.849998,63.015999,37.514999,17.168301,66.659203,157.199997,30.98,18.241899,58.249599
2/1/2010,36.349998,59.015099,14.275,80.489998,29.7792,41.73,49.610001,10.6787,31.065001,41.650002,52.900002,35.695,15.175,33.57,35.462601,38.709999,12.81,9.41,42.055,3.91,27.709999,16.959999,15.160523,42.195,17.280001,42.52,6.201,7.09,2.63601,9.241,79.330002,109.349998,6.78,76.550003,16.795,22.26,17.07,64.764297,10.0498,53.23,33.584999,34.264999,63.0354,37.654999,17.128799,67.896698,159.300003,30.58,17.8016,60.2575
2/2/2010,36.685001,59.902199,14.61,81.190002,30.181801,42,50,10.7988,31.174999,41.849998,53.880001,35.935001,15.62,33.764999,36.2355,39.490002,13.145,9.44,41.950001,3.9475,27.92,17.110001,15.321568,42.450001,17.530001,43.549999,6.254,7.263,2.67573,9.198,81.099998,108.75,6.97,77.650002,16.915001,22.245001,17.4,65.531799,10.2871,53.799999,33.794998,35.139999,64.052902,38.494999,17.2227,70.1241,158.949997,30.860001,18.0145,60.674999
2/3/2010,36.465,59.353401,14.625,80.410004,30.480499,42.130001,49.195,10.3472,31.225,42.110001,52.540001,35.75,15.64,34.34,35.586899,40.310001,12.925,9.342,41.889999,3.915,27.92,16.959999,15.140759,42.34,17.389999,42.52,6.194,7.275,2.63133,8.853,81.449997,107.949997,6.93,77.129997,16.719999,22.305,17.049999,64.574997,9.88995,54.060001,34.049999,35.264999,63.442402,38.529999,17.0991,69.134102,158,31.41,18.0436,61.132301
2/4/2010,35.275002,58.1129,14.25,79.290001,29.7078,40.255001,48.349998,9.56709,30.334999,41.375,49.84,34.900002,15.2,33.099998,34.0839,38.994999,12.415,9.24,41.455002,3.8225,27.17,16.52,14.832826,41.57,16.58,40.060001,5.902,6.661,2.49112,8.454,77.959999,106.900002,6.9,75.43,16.530001,21.59,16.445,63.219501,8.96005,53.419998,33.794998,33.775002,61.097301,37.5,16.5109,65.669197,156.899994,31.299999,17.8839,60.237701
2/5/2010,34.07,57.015301,14.1,77.610001,29.435101,39.43,46.82,9.29136,29.92,40.119999,47.105,33.73,14.28,32.32,33.543999,38.080002,12.14,9.211,41.02,3.73,26.225,16.01,14.465536,40.130001,16.040001,38.380001,5.84,6.27,2.39063,8.619,74.870003,106.25,6.82,73.099998,16.23,20.985001,15.82,62.442101,8.94552,51.68,33.384998,32.025002,59.760101,36.125,16.253799,64.3162,156.25,29.940001,17.254801,58.885799
2/8/2010,34.764999,58.789501,14.01,78.110001,29.233801,40.02,47.555,9.34516,29.610001,40.880001,47.455002,34.330002,14.3,33.310001,33.478001,38.049999,12.21,9.372,41.275002,3.77,26.485001,16.389999,14.663301,40.889999,16.219999,38.799999,5.849,6.14,2.47242,42.494999,76.230003,107.550003,7,74.739998,16.495001,21.08,16.235001,63.368999,9.1189,52.98,32.560001,32.215,60.622501,36.509998,16.5998,63.3592,154.100006,28.98,17.4242,58.299301
2/9/2010,34.945,58.4212,13.805,78.519997,29.5714,40.014999,47.84,9.44315,29.625,40.865002,48.314999,34.709999,14.415,33.325001,34.429501,37.990002,12.185,9.342,41.130001,3.7375,26.32,16.27,14.629383,40.529999,16.040001,39.560001,5.839,6.328,2.41868,8.578,77.050003,106.800003,7.07,74.620003,16.42,21.049999,16.290001,63.189602,9.32329,52.66,31.754999,32.985001,61.029499,36.695,16.5257,63.194199,144.800003,29.09,17.4193,57.076698
2/10/2010,35.174999,58.721901,13.795,79.190002,29.6623,40.43,48.345001,9.76116,29.665001,40.965,49.82,34.384998,14.845,33.630001,35.481998,38.189999,12.245,9.448,41.5,3.8025,26.5,16.33,14.646342,40.919998,16.469999,41.244999,5.887,6.527,2.52617,8.522,77.82,108,6.98,75.660004,16.545,21.16,16.32,63.867298,9.6691,52.200001,31.735001,33.185001,61.048901,37.095001,16.792601,65.537201,146.100006,29.450001,17.622601,58.547798
