Date,ABI.BR,AI.PA,AIR.PA,ALV.DE,ASML.AS,BAS.DE,BAYN.DE,BBVA.MC,BMW.DE,BN.PA,BNP.PA,CA.PA,CS.PA,DAI.DE,DBK.DE,DG.PA,DPW.DE,DTE.DE,EI.PA,ENEL.MI,ENGI.PA,ENI.MI,EOAN.DE,FP.PA,G.MI,GLE.PA,IBE.MC,INGA.AS,ISP.MI,ITX.MC,MC.PA,MUV2.DE,NOKIA.PA,OR.PA,ORA.PA,PHIA.AS,REP.MC,RWE.DE,SAN.MC,SAN.PA,SAP.DE,SGO.PA,SIE.DE,SU.PA,TEF.MC,UCG.MI,UL.AS,UN,VIV.PA,VOW3.DE
1/28/2010,-0.154999,-1.4133,-0.02,-1.43,-0.2728,-0.319999,-1.530002,-0.2786,-0.040001,-1.055,-0.68,-0.720002,-0.235,-0.604999,-0.1515,-0.825001,-0.185,-0.253,-0.219997,-0.0675,-0.530001,-0.390001,-0.339045,-1.095001,-0.459999,-1.035,-0.117,-0.084,-0.0631,0.256,-0.949997,-0.75,0.18,-1.400002,-0.270001,-0.520001,-0.264999,-1.774097,-0.18404,-1.119999,-0.57,-0.650002,-2.015603,-1.395,-0.4993,-2.706001,1.950012,0.02,-0.4161,0.308201
1/29/2010,0.990002,1.180302,0.425,0.849998,0.1754,1.199996,0.194999,0.1201,1.41,0.540001,1.080002,0.080002,-0.055,1.104999,0.4855,0.905002,0.145,-0.05,0.454998,0.0225,0,0.220001,0.079118,0.834999,0.18,0.395001,0.034,0.223,0.03739,36.578998,0.959999,-0.599998,0,0.739998,0.195,0.095,0.274999,0.368801,0.26153,0.919998,0.900002,1.474998,0.126,0.639999,0.089001,2.541001,1.849991,-0.02,-0.009701,2.087398
2/1/2010,0.199996,1.135197,0.075,0.07,-0.052,0.505002,0.135003,0.0144,0.105002,0.205002,0.75,0.355,0.175,0.145001,0.994202,-0.100002,0.17,0.053,-0.05,0.0075,0.289999,0.029999,0.096013,0.145001,0.010001,0.314998,0.021,0.226,0.03973,-36.393998,0.260002,0.849998,-0.15,0.100006,0.17,0.36,-0.075,0.737495,0.07267,-0.369998,0.504997,-0.584999,0.019401,0.14,-0.039502,1.237495,2.100006,-0.4,-0.440299,2.007901
2/2/2010,0.335003,0.8871,0.335,0.700004,0.402601,0.27,0.389999,0.1201,0.109998,0.199996,0.979999,0.240001,0.445,0.194999,0.772899,0.780003,0.335,0.03,-0.104999,0.0375,0.210001,0.150002,0.161045,0.255001,0.25,1.029999,0.053,0.173,0.03972,-0.043,1.769996,-0.599998,0.19,1.099999,0.120001,-0.014999,0.33,0.767502,0.2373,0.569999,0.209999,0.875,1.017502,0.84,0.093901,2.227402,-0.350006,0.280001,0.2129,0.417499
2/3/2010,-0.220001,-0.548798,0.015,-0.779998,0.298698,0.130001,-0.805,-0.4516,0.050001,0.260003,-1.34,-0.185001,0.02,0.575001,-0.648601,0.819999,-0.22,-0.098,-0.060002,-0.0325,0,-0.150002,-0.180809,-0.110001,-0.140002,-1.029999,-0.06,0.012,-0.0444,-0.345,0.349999,-0.800003,-0.04,-0.520005,-0.195002,0.059999,-0.350001,-0.956802,-0.39715,0.260002,0.255001,0.125,-0.6105,0.035,-0.1236,-0.989998,-0.949997,0.549999,0.0291,0.457302
2/4/2010,-1.189998,-1.240501,-0.375,-1.120003,-0.772699,-1.875,-0.845002,-0.78011,-0.890001,-0.735001,-2.700001,-0.849998,-0.44,-1.240002,-1.502999,-1.315002,-0.51,-0.102,-0.434997,-0.0925,-0.75,-0.439999,-0.307933,-0.77,-0.809999,-2.459999,-0.292,-0.614,-0.14021,-0.399,-3.489998,-1.049995,-0.03,-1.699997,-0.189998,-0.715,-0.604999,-1.355496,-0.9299,-0.640003,-0.255001,-1.489997,-2.345101,-1.029999,-0.5882,-3.464905,-1.100006,-0.110001,-0.1597,-0.8946
2/5/2010,-1.205002,-1.097599,-0.15,-1.68,-0.272699,-0.825001,-1.529998,-0.27573,-0.414999,-1.255001,-2.735,-1.170002,-0.92,-0.779998,-0.539901,-0.914997,-0.275,-0.029,-0.435002,-0.0925,-0.945,-0.51,-0.36729,-1.439999,-0.539999,-1.68,-0.062,-0.391,-0.10049,0.165,-3.089996,-0.650002,,-2.330002,-0.300001,-0.604999,-0.625,-0.7774,-0.01453,-1.739998,-0.41,-1.75,-1.3372,-1.375,-0.257101,-1.352997,-0.649994,,-0.629099,-1.351902
2/8/2010,0.694999,1.7742,-0.09,0.5,-0.2013,0.59,0.735,0.0538,-0.309999,0.760002,0.350002,0.600002,0.02,0.990001,-0.065998,-0.030003,0.07,0.161,0.255002,0.04,0.260001,0.379999,0.197765,0.759998,0.179998,0.419998,0.009,-0.13,0.08179,33.875999,1.36,1.300003,0.18,1.64,0.265001,0.094999,0.415001,0.926898,0.17338,1.3,-0.824997,0.189998,0.8624,0.384998,0.346001,-0.957,-2.149994,-0.960001,0.169399,-0.586498
2/9/2010,0.180001,-0.368301,-0.205,0.409996,0.337599,-0.005001,0.285,0.09799,0.014999,-0.014999,0.859997,0.379997,0.115,0.015,0.9515,-0.059997,-0.025,-0.03,-0.145001,-0.0325,-0.165001,-0.119999,-0.033918,-0.36,-0.179998,0.760002,-0.01,0.188,-0.05374,-33.916999,0.82,-0.75,0.07,-0.119995,-0.075001,-0.030001,0.055,-0.179397,0.20439,-0.32,-0.805002,0.770001,0.406998,0.185002,-0.0741,-0.165001,-9.300003,0.11,-0.0049,-1.222603
2/10/2010,0.229999,0.300701,-0.01,0.670005,0.0909,0.415001,0.505001,0.31801,0.040001,0.099998,1.505001,-0.325001,0.43,0.305,1.052497,0.199997,0.06,0.106,0.369999,0.065,0.18,0.06,0.016959,0.389999,0.429998,1.684998,0.048,0.199,0.10749,-0.056,0.769997,1.199997,-0.09,1.040001,0.125,0.110001,0.029999,0.677696,0.34581,-0.459999,-0.019998,0.2,0.019402,0.400001,0.266901,2.343002,1.300003,0.360001,0.203301,1.4711
