Date,ABI.BR,AI.PA,AIR.PA,ALV.DE,ASML.AS,BAS.DE,BAYN.DE,BBVA.MC,BMW.DE,BN.PA,BNP.PA,CA.PA,CS.PA,DAI.DE,DBK.DE,DG.PA,DPW.DE,DTE.DE,EI.PA,ENEL.MI,ENGI.PA,ENI.MI,EOAN.DE,FP.PA,G.MI,GLE.PA,IBE.MC,INGA.AS,ISP.MI,ITX.MC,MC.PA,MUV2.DE,NOKIA.PA,OR.PA,ORA.PA,PHIA.AS,REP.MC,RWE.DE,SAN.MC,SAN.PA,SAP.DE,SGO.PA,SIE.DE,SU.PA,TEF.MC,UCG.MI,UL.AS,UN,VIV.PA,VOW3.DE
1/28/2010,-0.4389041608,-2.431990143,-0.1449800652,-1.765432099,-0.9115027098,-0.7931565053,-3.011222141,-2.574195218,-0.1351841838,-2.514299393,-1.314009662,-2.001117287,-1.536952256,-1.83750651,-0.4438337994,-2.130134263,-1.458990536,-2.619047619,-0.5254287205,-1.709943002,-1.896246802,-2.280707602,-2.212446695,-2.588042955,-2.621077072,-2.415684388,-1.868114322,-1.249070632,-2.406569056,2.909090909,-1.201615259,-0.6827492159,2.666666667,-1.815590691,-1.616772358,-2.329231699,-1.546536329,-2.711355824,-1.859057501,-2.081782567,-1.740458015,-1.910365795,-3.105437648,-3.645152861,-2.840385469,-4.049432509,1.271194313,0.06455777921,-2.228983753,0.5517975436
1/29/2010,2.815705347,2.081676061,3.085299456,1.068239286,0.5914525995,2.998116028,0.3956960308,1.139014814,4.771573766,1.32013449,2.114748385,0.2268916748,-0.3653271338,3.41893255,1.42865975,2.387553156,1.160464186,-0.5315190815,1.09243212,0.5798969072,0,1.316582963,0.5279675033,2.025958996,1.053247513,0.944752429,0.5532053368,3.357928023,1.461180434,403.9200309,1.229034679,-0.5499523474,0,0.9774111871,1.186853317,0.4356798899,1.630106602,0.5793474413,2.691856396,1.746389522,2.796774394,4.419469663,0.2003498203,1.735590508,0.5211044949,3.962994783,1.19085351,-0.06451612903,-0.05315150453,3.716731116
2/1/2010,0.5532392502,1.961297377,0.5281690141,0.08704302629,-0.1743141409,1.22498975,0.2728711581,0.1350299598,0.3391537577,0.4946362649,1.438159101,1.004527448,1.166666667,0.4338100354,2.884386942,-0.2576706968,1.344936709,0.5664208614,-0.1187507422,0.1921844971,1.057618527,0.1771943296,0.6373456555,0.3448299725,0.05790966995,0.7463522926,0.3398058252,3.292540793,1.530266381,-79.75019085,0.3288250917,0.7834082949,-2.164502165,0.1308123008,1.022556391,1.643835616,-0.4374453193,1.151853563,0.7283657725,-0.6902948019,1.526593015,-1.678619895,0.03078741956,0.3731840697,-0.2300868327,1.856450339,1.335881705,-1.291155584,-2.413668665,3.447064073
2/2/2010,0.9216039022,1.503174637,2.34676007,0.8696782425,1.351953713,0.6470165349,0.7861297967,1.124668733,0.3540898003,0.4801824499,1.852550024,0.6723658776,2.932454695,0.5808728031,2.179476345,2.01499101,2.615144418,0.3188097768,-0.2496706694,0.9590792839,0.7578527881,0.8844458069,1.062265464,0.6043393767,1.446759176,2.422387112,0.8547008547,2.440056417,1.506822812,-0.4653176063,2.231181086,-0.548695026,2.802359882,1.436967938,0.7145043168,-0.06738095238,1.933216169,1.185069607,2.36124102,1.070822844,0.6252761836,2.553626224,1.614175527,2.230779504,0.5482053937,3.280574852,-0.219714999,0.9156344016,1.195959914,0.6928581504
2/3/2010,-0.5997028595,-0.916156684,0.1026694045,-0.96070696,0.9896626116,0.3095261905,-1.61,-4.181946142,0.1603881367,0.6212736259,-2.48700812,-0.5148211906,0.1280409731,1.702949851,-1.789960122,2.07647242,-1.673640167,-1.038135593,-0.1430321778,-0.8233058898,0,-0.8766919417,-1.180094622,-0.2591307359,-0.7986422819,-2.365095347,-0.959385993,0.1652209831,-1.659360249,-3.750815395,0.4315647455,-0.7356349425,-0.5738880918,-0.6696780252,-1.152834694,0.2697190259,-2.0115,-1.460057582,-3.860660439,0.4832751019,0.7545524932,0.3557199874,-0.9531184083,0.09092090118,-0.7176575101,-1.411779973,-0.5976703479,1.782239087,0.16153654,0.7536909889
2/4/2010,-3.263397779,-2.090025136,-2.564102564,-1.392865246,-2.535060204,-4.45051022,-1.717658299,-7.539334313,-2.850283427,-1.745430973,-5.138943564,-2.377616783,-2.813299233,-3.610955154,-4.223461561,-3.262222693,-3.945841393,-1.091843288,-1.038426857,-2.362707535,-2.686246418,-2.594333879,-2.033801608,-1.818611242,-4.657843856,-5.785510348,-4.714239587,-8.439862543,-5.328484075,-4.506946798,-4.284835026,-0.9726679288,-0.4329004329,-2.204067245,-1.136351743,-3.205559292,-3.54838144,-2.099103466,-9.402474229,-1.183875302,-0.7489016373,-4.22514403,-3.696425302,-2.673239104,-3.439947132,-5.011860861,-0.6962063291,-0.3502101242,-0.8850783657,-1.46338349
2/5/2010,-3.416022485,-1.888735548,-1.052631579,-2.118804362,-0.9179373767,-2.049437286,-3.164422054,-2.882067588,-1.368053449,-3.033235045,-5.487560193,-3.352441069,-6.052631579,-2.356489568,-1.584035278,-2.346447041,-2.215062424,-0.3138528139,-1.049335373,-2.419882276,-3.478100847,-3.08716707,-2.476197051,-3.464034159,-3.256930036,-4.193709331,-1.050491359,-5.869989491,-4.033928514,1.951738822,-3.963565982,-0.6080467613,-1.15942029,-3.0889593,-1.814887972,-2.80221862,-3.800547279,-1.22968386,-0.1621642736,-3.257203417,-1.21319729,-5.181346843,-2.188640051,-3.666666667,-1.55715921,-2.060322132,-0.4142728011,-4.345041672,-3.517683503,-2.244278878
2/8/2010,2.039914881,3.111796253,-0.6382978723,0.6442468671,-0.6838773884,1.496322597,1.569841948,0.5790325636,-1.036092914,1.894322081,0.7430251566,1.77883783,0.1400560224,3.063121906,-0.1967505425,-0.07878938662,0.5766062603,1.747910107,0.6216528523,1.072386059,0.9914242135,2.373510306,1.367146022,1.893839973,1.122181975,1.094314719,0.154109589,-2.073365231,3.42127389,393.038624,1.816481829,1.223532235,2.639296188,2.243502113,1.632784966,0.4526995257,2.623268015,1.484411935,1.938176875,2.515479876,-2.471160849,0.5932802128,1.443103317,1.065738408,2.128739257,-1.487961042,-1.37599616,-3.206416059,0.9817499489,-0.9959922595
2/9/2010,0.5177650084,-0.6264741046,-1.463240542,0.5248956532,1.154824171,-0.01249625187,0.5993060667,1.048564177,0.05065518235,-0.03669031221,1.81223678,1.10689478,0.8041958042,0.04503152071,2.842164919,-0.1576793734,-0.2047502048,-0.3201024328,-0.3513046468,-0.8620689655,-0.6229978998,-0.7321476957,-0.2313121718,-0.8804108799,-1.109728798,1.958768092,-0.1709693965,3.061889251,-2.173578923,-79.8140953,1.075691942,-0.6973500503,1,-0.1605499106,-0.4546892722,-0.1423197343,0.3387742323,-0.2830989961,2.241388764,-0.60400151,-2.472364789,2.390194009,0.6713645813,0.506715996,-0.4463909204,-0.2604215331,-6.035043892,0.3795721187,-0.0281218076,-2.097114338
2/10/2010,0.6581742739,0.5147121251,-0.07243752264,0.8532921875,0.3073916013,1.037113608,1.055604097,3.367626269,0.1350244726,0.2447032793,3.11497678,-0.936332496,2.983003815,0.9152287797,3.05696269,0.5264464056,0.4924086992,1.134660672,0.8995842232,1.739130435,0.6838905775,0.36877689,0.1159242328,0.9622477415,2.680785369,4.259347718,0.8220585717,3.144753477,4.444159624,-0.6528328282,0.9993471382,1.123592665,-1.272984441,1.393729507,0.7612667479,0.5225700961,0.1841559126,1.072480248,3.709098398,-0.8735263957,-0.06297591129,0.606336195,0.03179118347,1.090069492,1.61506623,3.707621961,0.8977921085,1.237542111,1.167102008,2.577409086
